timestamp,value,is_anomaly
1533484500,457,0
1533484800,102,0
1533485100,93,0
1533485400,92,0
1533485700,75,0
1533486000,76,0
1533486300,102,0
1533486600,135,0
1533486900,83,0
1533487200,110,0
1533487500,110,0
1533487800,79,0
1533488100,120,0
1533488400,95,0
1533488700,112,0
1533489000,103,0
1533489300,70,0
1533489600,61,0
1533489900,77,0
1533490200,65,0
1533490500,88,0
1533490800,67,0
1533491100,71,0
1533491400,55,0
1533491700,50,0
1533492000,37,0
1533492300,54,0
1533492600,38,0
1533492900,37,0
1533493200,59,0
1533493500,27,0
1533493800,39,0
1533494100,36,0
1533494400,33,0
1533494700,32,0
1533495000,29,0
1533495300,32,0
1533495600,23,0
1533495900,29,0
1533496200,25,0
1533496500,42,0
1533496800,20,0
1533497100,23,0
1533497400,24,0
1533497700,33,0
1533498000,25,0
1533498300,20,0
1533498600,35,0
1533498900,15,0
1533499200,34,0
1533499500,29,0
1533499800,22,0
1533500100,17,0
1533500400,12,0
1533500700,51,0
1533501000,30,0
1533501300,29,0
1533501600,29,0
1533501900,35,0
1533502200,29,0
1533502500,25,0
1533502800,36,0
1533503100,29,0
1533503400,39,0
1533503700,42,0
1533504000,58,0
1533504300,38,0
1533504600,74,0
1533504900,59,0
1533505200,74,0
1533505500,73,0
1533505800,82,0
1533506100,88,0
1533506400,81,0
1533506700,80,0
1533507000,101,0
1533507300,111,0
1533507600,136,0
1533507900,124,0
1533508200,139,0
1533508500,134,0
1533508800,132,0
1533509100,145,0
1533509400,207,0
1533509700,218,0
1533510000,186,0
1533510300,199,0
1533510600,168,0
1533510900,192,0
1533511200,214,0
1533511500,215,0
1533511800,232,0
1533512100,214,0
1533512400,243,0
1533512700,249,0
1533513000,263,0
1533513300,227,0
1533513600,283,0
1533513900,301,0
1533514200,244,0
1533514500,313,0
1533514800,268,0
1533515100,302,0
1533515400,317,0
1533515700,314,0
1533516000,336,0
1533516300,320,0
1533516600,358,0
1533516900,288,0
1533517200,350,0
1533517500,363,0
1533517800,379,0
1533518100,331,0
1533518400,332,0
1533518700,380,0
1533519000,370,0
1533519300,362,0
1533519600,351,0
1533519900,313,0
1533520200,386,0
1533520500,435,0
1533520800,392,0
1533521100,427,0
1533521400,401,0
1533521700,357,0
1533522000,386,0
1533522300,443,0
1533522600,427,0
1533522900,375,0
1533523200,476,0
1533523500,424,0
1533523800,468,0
1533524100,448,0
1533524400,489,0
1533524700,448,0
1533525000,352,0
1533525300,449,0
1533525600,436,0
1533525900,465,0
1533526200,447,0
1533526500,457,0
1533526800,437,0
1533527100,455,0
1533527400,534,0
1533527700,496,0
1533528000,500,0
1533528300,501,0
1533528600,574,0
1533528900,556,0
1533529200,521,0
1533529500,541,0
1533529800,532,0
1533530100,522,0
1533530400,504,0
1533530700,489,0
1533531000,499,0
1533531300,519,0
1533531600,477,0
1533531900,511,0
1533532200,488,0
1533532500,515,0
1533532800,456,0
1533533100,519,0
1533533400,480,0
1533533700,475,0
1533534000,460,0
1533534300,469,0
1533534600,463,0
1533534900,467,0
1533535200,478,0
1533535500,502,0
1533535800,482,0
1533536100,460,0
1533536400,513,0
1533536700,460,0
1533537000,476,0
1533537300,445,0
1533537600,496,0
1533537900,491,0
1533538200,407,0
1533538500,450,0
1533538800,471,0
1533539100,471,0
1533539400,514,0
1533539700,490,0
1533540000,494,0
1533540300,503,0
1533540600,496,0
1533540900,520,0
1533541200,500,0
1533541500,475,0
1533541800,470,0
1533542100,488,0
1533542400,514,0
1533542700,555,0
1533543000,534,0
1533543300,466,0
1533543600,529,0
1533543900,506,0
1533544200,528,0
1533544500,516,0
1533544800,577,0
1533545100,551,0
1533545400,522,0
1533545700,642,0
1533546000,553,0
1533546300,536,0
1533546600,627,0
1533546900,608,0
1533547200,599,0
1533547500,626,0
1533547800,568,0
1533548100,635,0
1533548400,623,0
1533548700,698,0
1533549000,637,0
1533549300,658,0
1533549600,672,0
1533549900,721,0
1533550200,757,0
1533550500,639,0
1533550800,688,0
1533551100,682,0
1533551400,700,0
1533551700,667,0
1533552000,757,0
1533552300,715,0
1533552600,734,0
1533552900,743,0
1533553200,763,0
1533553500,832,0
1533553800,791,0
1533554100,836,0
1533554400,838,0
1533554700,868,0
1533555000,881,0
1533555300,915,0
1533555600,893,0
1533555900,906,0
1533556200,917,0
1533556500,905,0
1533556800,955,0
1533557100,1069,0
1533557400,1011,0
1533557700,966,0
1533558000,970,0
1533558300,999,0
1533558600,1052,0
1533558900,1024,0
1533559200,1081,0
1533559500,1084,0
1533559800,1013,0
1533560100,1066,0
1533560400,1119,0
1533560700,1115,0
1533561000,1083,0
1533561300,1106,0
1533561600,1063,0
1533561900,1035,0
1533562200,1084,0
1533562500,1058,0
1533562800,1010,0
1533563100,1058,0
1533563400,929,0
1533563700,1108,0
1533564000,1309,0
1533564300,1016,0
1533564600,984,0
1533564900,949,0
1533565200,912,0
1533565500,963,0
1533565800,906,0
1533566100,782,0
1533566400,783,0
1533566700,768,0
1533567000,743,0
1533567300,700,0
1533567600,660,0
1533567900,683,0
1533568200,587,0
1533568500,579,0
1533568800,584,0
1533569100,558,0
1533569400,475,0
1533569700,529,0
1533570000,525,0
1533570300,474,0
1533570600,422,0
1533570900,375,0
1533571200,123,0
1533571500,89,0
1533571800,97,0
1533572100,103,0
1533572400,80,0
1533572700,92,0
1533573000,84,0
1533573300,63,0
1533573600,87,0
1533573900,87,0
1533574200,82,0
1533574500,73,0
1533574800,79,0
1533575100,65,0
1533575400,81,0
1533575700,63,0
1533576000,93,0
1533576300,80,0
1533576600,74,0
1533576900,62,0
1533577200,71,0
1533577500,74,0
1533577800,52,0
1533578100,50,0
1533578400,59,0
1533578700,55,0
1533579000,67,0
1533579300,56,0
1533579600,45,0
1533579900,39,0
1533580200,54,0
1533580500,50,0
1533580800,37,0
1533581100,46,0
1533581400,40,0
1533581700,43,0
1533582000,36,0
1533582300,48,0
1533582600,29,0
1533582900,34,0
1533583200,25,0
1533583500,30,0
1533583800,35,0
1533584100,45,0
1533584400,22,0
1533584700,31,0
1533585000,27,0
1533585300,26,0
1533585600,18,0
1533585900,22,0
1533586200,22,0
1533586500,42,0
1533586800,19,0
1533587100,36,0
1533587400,39,0
1533587700,44,0
1533588000,28,0
1533588300,32,0
1533588600,35,0
1533588900,39,0
1533589200,19,0
1533589500,43,0
1533589800,49,0
1533590100,44,0
1533590400,51,0
1533590700,55,0
1533591000,77,0
1533591300,65,0
1533591600,88,0
1533591900,60,0
1533592200,64,0
1533592500,82,0
1533592800,117,0
1533593100,106,0
1533593400,108,0
1533593700,135,0
1533594000,78,0
1533594300,150,0
1533594600,125,0
1533594900,182,0
1533595200,185,0
1533595500,176,0
1533595800,195,0
1533596100,195,0
1533596400,194,0
1533596700,183,0
1533597000,248,0
1533597300,184,0
1533597600,231,0
1533597900,231,0
1533598200,218,0
1533598500,273,0
1533598800,270,0
1533599100,251,0
1533599400,254,0
1533599700,273,0
1533600000,275,0
1533600300,330,0
1533600600,282,0
1533600900,311,0
1533601200,358,0
1533601500,334,0
1533601800,352,0
1533602100,262,0
1533602400,305,0
1533602700,329,0
1533603000,368,0
1533603300,355,0
1533603600,362,0
1533603900,309,0
1533604200,348,0
1533604500,364,0
1533604800,361,0
1533605100,366,0
1533605400,417,0
1533605700,368,0
1533606000,374,0
1533606300,456,0
1533606600,423,0
1533606900,389,0
1533607200,388,0
1533607500,385,0
1533607800,448,0
1533608100,381,0
1533608400,367,0
1533608700,488,0
1533609000,444,0
1533609300,401,0
1533609600,424,0
1533609900,454,0
1533610200,447,0
1533610500,430,0
1533610800,454,0
1533611100,417,0
1533611400,459,0
1533611700,521,0
1533612000,479,0
1533612300,459,0
1533612600,490,0
1533612900,419,0
1533613200,504,0
1533613500,497,0
1533613800,508,0
1533614100,498,0
1533614400,559,0
1533614700,524,0
1533615000,564,0
1533615300,515,0
1533615600,552,0
1533615900,579,0
1533616200,531,0
1533616500,505,0
1533616800,526,0
1533617100,510,0
1533617400,523,0
1533617700,550,0
1533618000,497,0
1533618300,480,0
1533618600,473,0
1533618900,523,0
1533619200,456,0
1533619500,567,0
1533619800,473,0
1533620100,526,0
1533620400,443,0
1533620700,520,0
1533621000,538,0
1533621300,502,0
1533621600,466,0
1533621900,514,0
1533622200,526,0
1533622500,482,0
1533622800,430,0
1533623100,460,0
1533623400,444,0
1533623700,433,0
1533624000,453,0
1533624300,481,0
1533624600,442,0
1533624900,452,0
1533625200,490,0
1533625500,463,0
1533625800,495,0
1533626100,498,0
1533626400,575,0
1533626700,504,0
1533627000,556,0
1533627300,503,0
1533627600,526,0
1533627900,569,0
1533628200,510,0
1533628500,581,0
1533628800,538,0
1533629100,514,0
1533629400,564,0
1533629700,559,0
1533630000,551,0
1533630300,594,0
1533630600,555,0
1533630900,645,0
1533631200,511,0
1533631500,561,0
1533631800,602,0
1533632100,513,0
1533632400,551,0
1533632700,639,0
1533633000,614,0
1533633300,621,0
1533633600,629,0
1533633900,598,0
1533634200,760,0
1533634500,658,0
1533634800,695,0
1533635100,670,0
1533635400,721,0
1533635700,652,0
1533636000,653,0
1533636300,740,0
1533636600,696,0
1533636900,701,0
1533637200,712,0
1533637500,766,0
1533637800,648,0
1533638100,760,0
1533638400,771,0
1533638700,778,0
1533639000,737,0
1533639300,789,0
1533639600,754,0
1533639900,786,0
1533640200,862,0
1533640500,882,0
1533640800,930,0
1533641100,915,0
1533641400,916,0
1533641700,963,0
1533642000,936,0
1533642300,935,0
1533642600,939,0
1533642900,1009,0
1533643200,973,0
1533643500,1000,0
1533643800,1103,0
1533644100,925,0
1533644400,932,0
1533644700,970,0
1533645000,1056,0
1533645300,961,0
1533645600,957,0
1533645900,1004,0
1533646200,1046,0
1533646500,1037,0
1533646800,1015,0
1533647100,1059,0
1533647400,1053,0
1533647700,1079,0
1533648000,1115,0
1533648300,1084,0
1533648600,1093,0
1533648900,1091,0
1533649200,1005,0
1533649500,997,0
1533649800,975,0
1533650100,1113,0
1533650400,1213,0
1533650700,1042,0
1533651000,995,0
1533651300,916,0
1533651600,907,0
1533651900,856,0
1533652200,858,0
1533652500,754,0
1533652800,799,0
1533653100,663,0
1533653400,767,0
1533653700,726,0
1533654000,746,0
1533654300,707,0
1533654600,605,0
1533654900,531,0
1533655200,564,0
1533655500,522,0
1533655800,484,0
1533656100,512,0
1533656400,481,0
1533656700,488,0
1533657000,433,0
1533657300,434,0
1533657600,106,0
1533657900,77,0
1533658200,70,0
1533658500,89,0
1533658800,96,0
1533659100,99,0
1533659400,88,0
1533659700,133,0
1533660000,105,0
1533660300,101,0
1533660600,88,0
1533660900,92,0
1533661200,74,0
1533661500,91,0
1533661800,84,0
1533662100,96,0
1533662400,69,0
1533662700,74,0
1533663000,99,0
1533663300,74,0
1533663600,55,0
1533663900,57,0
1533664200,66,0
1533664500,56,0
1533664800,52,0
1533665100,47,0
1533665400,41,0
1533665700,41,0
1533666000,35,0
1533666300,42,0
1533666600,56,0
1533666900,45,0
1533667200,42,0
1533667500,31,0
1533667800,21,0
1533668100,43,0
1533668400,46,0
1533668700,42,0
1533669000,40,0
1533669300,24,0
1533669600,36,0
1533669900,18,0
1533670200,42,0
1533670500,40,0
1533670800,27,0
1533671100,24,0
1533671400,35,0
1533671700,26,0
1533672000,33,0
1533672300,25,0
1533672600,21,0
1533672900,25,0
1533673200,30,0
1533673500,41,0
1533673800,32,0
1533674100,28,0
1533674400,47,0
1533674700,28,0
1533675000,25,0
1533675300,56,0
1533675600,44,0
1533675900,43,0
1533676200,54,0
1533676500,37,0
1533676800,56,0
1533677100,40,0
1533677400,58,0
1533677700,63,0
1533678000,66,0
1533678300,71,0
1533678600,82,0
1533678900,91,0
1533679200,79,0
1533679500,103,0
1533679800,118,0
1533680100,116,0
1533680400,150,0
1533680700,156,0
1533681000,164,0
1533681300,182,0
1533681600,155,0
1533681900,156,0
1533682200,164,0
1533682500,151,0
1533682800,191,0
1533683100,210,0
1533683400,240,0
1533683700,231,0
1533684000,211,0
1533684300,268,0
1533684600,238,0
1533684900,218,0
1533685200,242,0
1533685500,237,0
1533685800,280,0
1533686100,281,0
1533686400,291,0
1533686700,281,0
1533687000,255,0
1533687300,290,0
1533687600,347,0
1533687900,283,0
1533688200,367,0
1533688500,301,0
1533688800,330,0
1533689100,347,0
1533689400,381,0
1533689700,386,0
1533690000,333,0
1533690300,403,0
1533690600,386,0
1533690900,361,0
1533691200,409,0
1533691500,404,0
1533691800,404,0
1533692100,396,0
1533692400,380,0
1533692700,368,0
1533693000,376,0
1533693300,441,0
1533693600,422,0
1533693900,411,0
1533694200,436,0
1533694500,430,0
1533694800,444,0
1533695100,446,0
1533695400,471,0
1533695700,481,0
1533696000,480,0
1533696300,448,0
1533696600,425,0
1533696900,439,0
1533697200,450,0
1533697500,496,0
1533697800,433,0
1533698100,443,0
1533698400,482,0
1533698700,439,0
1533699000,460,0
1533699300,504,0
1533699600,428,0
1533699900,523,0
1533700200,531,0
1533700500,540,0
1533700800,530,0
1533701100,503,0
1533701400,527,0
1533701700,515,0
1533702000,538,0
1533702300,547,0
1533702600,529,0
1533702900,538,0
1533703200,546,0
1533703500,525,0
1533703800,531,0
1533704100,470,0
1533704400,508,0
1533704700,566,0
1533705000,444,0
1533705300,507,0
1533705600,507,0
1533705900,599,0
1533706200,531,0
1533706500,488,0
1533706800,524,0
1533707100,430,0
1533707400,469,0
1533707700,458,0
1533708000,494,0
1533708300,460,0
1533708600,538,0
1533708900,517,0
1533709200,495,0
1533709500,483,0
1533709800,472,0
1533710100,461,0
1533710400,564,0
1533710700,438,0
1533711000,470,0
1533711300,439,0
1533711600,478,0
1533711900,517,0
1533712200,450,0
1533712500,512,0
1533712800,533,0
1533713100,540,0
1533713400,525,0
1533713700,496,0
1533714000,511,0
1533714300,558,0
1533714600,502,0
1533714900,513,0
1533715200,524,0
1533715500,510,0
1533715800,490,0
1533716100,490,0
1533716400,534,0
1533716700,506,0
1533717000,520,0
1533717300,474,0
1533717600,599,0
1533717900,586,0
1533718200,529,0
1533718500,620,0
1533718800,576,0
1533719100,579,0
1533719400,570,0
1533719700,583,0
1533720000,670,0
1533720300,630,0
1533720600,593,0
1533720900,662,0
1533721200,626,0
1533721500,592,0
1533721800,658,0
1533722100,662,0
1533722400,692,0
1533722700,737,0
1533723000,642,0
1533723300,699,0
1533723600,605,0
1533723900,678,0
1533724200,742,0
1533724500,809,0
1533724800,665,0
1533725100,765,0
1533725400,774,0
1533725700,659,0
1533726000,755,0
1533726300,803,0
1533726600,837,0
1533726900,715,0
1533727200,809,0
1533727500,789,0
1533727800,844,0
1533728100,815,0
1533728400,867,0
1533728700,850,0
1533729000,838,0
1533729300,824,0
1533729600,984,0
1533729900,909,0
1533730200,988,0
1533730500,975,0
1533730800,982,0
1533731100,894,0
1533731400,995,0
1533731700,942,0
1533732000,1050,0
1533732300,999,0
1533732600,914,0
1533732900,990,0
1533733200,986,0
1533733500,960,0
1533733800,1061,0
1533734100,1080,0
1533734400,1065,0
1533734700,1056,0
1533735000,1082,0
1533735300,1071,0
1533735600,1007,0
1533735900,933,0
1533736200,1000,0
1533736500,1202,0
1533736800,1245,0
1533737100,1193,0
1533737400,1013,0
1533737700,1016,0
1533738000,955,0
1533738300,904,0
1533738600,923,0
1533738900,887,0
1533739200,878,0
1533739500,799,0
1533739800,826,0
1533740100,715,0
1533740400,729,0
1533740700,837,0
1533741000,704,0
1533741300,701,0
1533741600,631,0
1533741900,654,0
1533742200,628,0
1533742500,621,0
1533742800,509,0
1533743100,555,0
1533743400,504,0
1533743700,464,0
1533744000,121,0
1533744300,75,0
1533744600,83,0
1533744900,99,0
1533745200,104,0
1533745500,116,0
1533745800,117,0
1533746100,126,0
1533746400,102,0
1533746700,94,0
1533747000,100,0
1533747300,112,0
1533747600,91,0
1533747900,100,0
1533748200,92,0
1533748500,77,0
1533748800,112,0
1533749100,81,0
1533749400,84,0
1533749700,97,0
1533750000,83,0
1533750300,90,0
1533750600,81,0
1533750900,75,0
1533751200,54,0
1533751500,76,0
1533751800,73,0
1533752100,67,0
1533752400,62,0
1533752700,50,0
1533753000,48,0
1533753300,44,0
1533753600,62,0
1533753900,40,0
1533754200,55,0
1533754500,47,0
1533754800,34,0
1533755100,46,0
1533755400,35,0
1533755700,42,0
1533756000,50,0
1533756300,29,0
1533756600,25,0
1533756900,24,0
1533757200,26,0
1533757500,28,0
1533757800,26,0
1533758100,29,0
1533758400,26,0
1533758700,25,0
1533759000,67,0
1533759300,32,0
1533759600,38,0
1533759900,27,0
1533760200,33,0
1533760500,30,0
1533760800,39,0
1533761100,33,0
1533761400,42,0
1533761700,36,0
1533762000,50,0
1533762300,42,0
1533762600,45,0
1533762900,38,0
1533763200,47,0
1533763500,60,0
1533763800,65,0
1533764100,65,0
1533764400,82,0
1533764700,108,0
1533765000,67,0
1533765300,83,0
1533765600,123,0
1533765900,112,0
1533766200,107,0
1533766500,95,0
1533766800,140,0
1533767100,122,0
1533767400,158,0
1533767700,179,0
1533768000,217,0
1533768300,188,0
1533768600,186,0
1533768900,208,0
1533769200,192,0
1533769500,220,0
1533769800,226,0
1533770100,228,0
1533770400,257,0
1533770700,268,0
1533771000,260,0
1533771300,270,0
1533771600,238,0
1533771900,296,0
1533772200,258,0
1533772500,291,0
1533772800,277,0
1533773100,307,0
1533773400,322,0
1533773700,288,0
1533774000,347,0
1533774300,314,0
1533774600,348,0
1533774900,315,0
1533775200,384,0
1533775500,364,0
1533775800,381,0
1533776100,374,0
1533776400,396,0
1533776700,390,0
1533777000,375,0
1533777300,339,0
1533777600,394,0
1533777900,378,0
1533778200,404,0
1533778500,402,0
1533778800,364,0
1533779100,386,0
1533779400,397,0
1533779700,443,0
1533780000,476,0
1533780300,388,0
1533780600,411,0
1533780900,434,0
1533781200,408,0
1533781500,461,0
1533781800,475,0
1533782100,476,0
1533782400,467,0
1533782700,494,0
1533783000,419,0
1533783300,437,0
1533783900,537,0
1533784200,488,0
1533784500,495,0
1533784800,537,0
1533785100,471,0
1533785400,504,0
1533785700,527,0
1533786000,510,0
1533786300,548,0
1533786600,515,0
1533786900,574,0
1533787200,579,0
1533787500,624,0
1533787800,574,0
1533788100,597,0
1533788400,543,0
1533788700,568,0
1533789000,577,0
1533789300,511,0
1533789600,551,0
1533789900,559,0
1533790200,575,0
1533790500,523,0
1533790800,515,0
1533791100,512,0
1533791400,536,0
1533791700,559,0
1533792000,516,0
1533792300,542,0
1533792600,522,0
1533792900,534,0
1533793200,582,0
1533793500,527,0
1533793800,487,0
1533794100,473,0
1533794400,479,0
1533794700,469,0
1533795000,534,0
1533795300,499,0
1533795600,545,0
1533795900,471,0
1533796200,466,0
1533796500,568,0
1533796800,507,0
1533797100,467,0
1533797400,552,0
1533797700,531,0
1533798000,564,0
1533798300,514,0
1533798600,472,0
1533798900,569,0
1533799200,522,0
1533799500,494,0
1533799800,547,0
1533800100,498,0
1533800400,537,0
1533800700,527,0
1533801000,517,0
1533801300,419,0
1533801600,484,0
1533801900,529,0
1533802200,548,0
1533802500,537,0
1533802800,592,0
1533803100,556,0
1533803400,571,0
1533803700,573,0
1533804000,631,0
1533804300,544,0
1533804600,706,0
1533804900,613,0
1533805200,666,0
1533805500,679,0
1533805800,609,0
1533806100,608,0
1533806400,618,0
1533806700,606,0
1533807000,676,0
1533807300,698,0
1533807600,759,0
1533807900,712,0
1533808200,707,0
1533808500,730,0
1533808800,741,0
1533809100,791,0
1533809400,845,0
1533809700,781,0
1533810000,780,0
1533810300,809,0
1533810600,774,0
1533810900,834,0
1533811200,817,0
1533811500,895,0
1533811800,870,0
1533812100,975,0
1533812400,978,0
1533812700,856,0
1533813000,979,0
1533813300,954,0
1533813600,996,0
1533813900,968,0
1533814200,953,0
1533814500,975,0
1533814800,966,0
1533815100,997,0
1533815400,1061,0
1533815700,1074,0
1533816000,1161,0
1533816300,1132,0
1533816600,1104,0
1533816900,1008,0
1533817200,1050,0
1533817500,1092,0
1533817800,1112,0
1533818100,1100,0
1533818400,1130,0
1533818700,1068,0
1533819000,1114,0
1533819300,1102,0
1533819600,1121,0
1533819900,1053,0
1533820200,1148,0
1533820500,1040,0
1533820800,1154,0
1533821100,1173,0
1533821400,1162,0
1533821700,1153,0
1533822000,1134,0
1533822300,1143,0
1533822600,1072,0
1533822900,1106,0
1533823200,1094,0
1533823500,1038,0
1533823800,1018,0
1533824100,994,0
1533824400,923,0
1533824700,902,0
1533825000,886,0
1533825300,906,0
1533825600,942,0
1533825900,760,0
1533826200,807,0
1533826500,762,0
1533826800,704,0
1533827100,667,0
1533827400,621,0
1533827700,583,0
1533828000,581,0
1533828300,573,0
1533828600,486,0
1533828900,473,0
1533829200,454,0
